,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Boylan Heights,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM
CBS Rentals,8:30AM-5:00PM,8:30AM-5:00PM,8:30AM-5:00PM,8:30AM-5:00PM,8:30AM-5:00PM,,
The College Inn,9AM-2AM,9AM-2AM,9AM-2AM,9AM-2AM,9AM-2AM,9AM-2AM,9AM-1AM
Corner Juice,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,9AM-7PM,9AM-7PM
Finch,10:00AM-6:00PM,10:00AM-6:00PM,10:00AM-6:00PM,10:00AM-6:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-5:00PM
Ginkgo Chinese Restaurant,11:00AM-9:15PM,11:00AM-9:15PM,11:00AM-9:15PM,11:00AM-9:15PM,11:00AM-11:00PM,12:00PM-11:00PM,12:00PM-10:00PM
GrandMarc At the Corner,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,10:00AM-5:00PM,12:00PM-5:00PM
Grit Coffee @ UVa Corner,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,8:00AM-6:00PM,8:00AM-6:00PM
Littlejohn's New York Deli,12AM-12AM,12AM-12AM,12AM-12AM,12AM-12AM,12AM-12AM,12AM-12AM,12AM-12AM
Mellow Mushroom,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM
Ragged Mountain Running Shop,9:00AM-6:00PM,9:00AM-6:00PM,9:00AM-6:00PM,9:00AM-7:00PM,9:00AM-6:00PM,9:00AM-5:00PM,
Revolutionary Soup On the Corner,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-8:00PM,11:00AM-9:00PM,11:00AM-9:00PM,
Starbucks,5:30AM-11:00PM,5:30AM-11:00PM,5:30AM-11:00PM,5:30AM-11:00PM,5:30AM-10:00PM,5:30AM-11:00PM,6:00AM-10:00PM
Trinity Irish Pub,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM,11:00AM-2:00AM
The Virginian,11AM-2AM,11AM-2AM,11AM-2AM,11AM-2AM,11AM-2AM,11AM-2AM,10AM-2AM
